,,"Manner",,,,,,,,"Laryngeal",,,"Place",,,,,,,,,,,,,
,,"consonantal","sonorant","continuant","delayed release","approximant","tap","trill","nasal","voice","spread gl","constricted gl","labial","round","labiodental","coronal","anterior","distributed","strident","lateral","dorsal","high","low","front","back","tense"
"bilabial","p",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0,0,0,-1,-1,0,0,0,0,0
,"b",1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,0,0,0,-1,-1,0,0,0,0,0
,"ɸ",1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0,0,0,-1,-1,0,0,0,0,0
,"β",1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,0,0,0,-1,-1,0,0,0,0,0
,"m",1,1,-1,1,-1,-1,-1,1,1,-1,-1,1,-1,-1,-1,0,0,0,-1,-1,0,0,0,0,0
,"ʙ",1,1,1,1,1,-1,1,-1,1,-1,-1,1,-1,-1,-1,0,0,0,-1,-1,0,0,0,0,0
"labiodental","p͡f",1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,0,0,0,-1,-1,0,0,0,0,0
,"f",1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,0,0,0,-1,-1,0,0,0,0,0
,"v",1,-1,1,1,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,0,0,0,-1,-1,0,0,0,0,0
,"ɱ",1,1,-1,0,-1,-1,-1,1,1,-1,-1,1,-1,1,-1,0,0,0,-1,-1,0,0,0,0,0
,"ʋ",-1,1,1,0,1,-1,-1,-1,1,-1,-1,1,-1,1,-1,0,0,0,-1,-1,0,0,0,0,0
"dental","t̪",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,0,0,0,0,0
,"d̪",1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,0,0,0,0,0
,"θ",1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,0,0,0,0,0
,"ð",1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,0,0,0,0,0
"alveolar","t",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,0,0,0,0,0
,"d",1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,0,0,0,0,0
,"t͡s",1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,-1,-1,0,0,0,0,0
,"d͡z",1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1,1,-1,-1,0,0,0,0,0
,"t͡ɬ",1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1,0,0,0,0,0
,"s",1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,-1,-1,0,0,0,0,0
,"z",1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1,1,-1,-1,0,0,0,0,0
,"n",1,1,-1,0,-1,-1,-1,1,1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,0,0,0,0,0
,"l",1,1,1,0,1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1,0,0,0,0,0
,"ɬ",1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1,0,0,0,0,0
,"ɮ",1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1,0,0,0,0,0
,"ɾ",1,1,1,0,1,1,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,0,0,0,0,0
,"ɺ",1,1,1,0,1,1,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1,0,0,0,0,0
,"r",1,1,1,0,1,-1,1,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,0,0,0,0,0
"Palato-alveolar","ʧ",1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,-1,0,0,0,0,0
,"ʤ",1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,1,1,-1,-1,0,0,0,0,0
,"ʃ",1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,-1,0,0,0,0,0
,"ʒ",1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,1,1,-1,-1,0,0,0,0,0
,"ɹ",1,1,1,0,1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,0,0,0,0,0
"retroflex","ʈ",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0,0,0,0,0
,"ɖ",1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0
,"ʂ",1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,0,0,0,0,0
,"ʐ",1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,0,0,0,0,0
,"ɳ",1,1,-1,0,-1,-1,-1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0,0,0,0,0
,"ɭ",1,1,1,0,1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0,0,0,0,0
,"ɽ",1,1,1,0,1,1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0,0,0,0,0
,"ɻ",1,1,1,0,1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0,0,0,0,0
"fronted velar","k̘",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,1,1,-1,1,-1,0
,"g̘",1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,0,0,-1,1,1,-1,1,-1,0
,"ɡ̘",1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,0,0,-1,1,1,-1,1,-1,0
,"x̘",1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,1,1,-1,1,-1,0
,"j",-1,1,1,0,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,0,0,-1,1,1,-1,1,-1,1
"velar","k",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,1,1,-1,0,0,0
,"g",1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,0,0,-1,1,1,-1,0,0,0
,"ɡ",1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,0,0,-1,1,1,-1,0,0,0
,"ŋ",1,1,-1,0,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,0,0,0,-1,1,1,-1,0,0,0
,"k͡x",1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,1,1,-1,0,0,0
,"x",1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,1,1,-1,0,0,0
,"ɣ",1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,0,0,-1,1,1,-1,0,0,0
,"ʟ",1,1,1,0,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,0,0,1,1,1,-1,0,0,0
"back velar","k̙",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,1,1,-1,-1,1,0
,"g̙",1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,0,0,-1,1,1,-1,-1,1,0
,"ɡ̙",1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,0,0,-1,1,1,-1,-1,1,0
,"x̙",1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,1,1,-1,-1,1,0
,"ɣ̙",1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,0,0,-1,1,1,-1,-1,1,0
"uvular","q",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,1,-1,-1,-1,1,0
,"ɢ",1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,0,0,-1,1,-1,-1,-1,1,0
,"χ",1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,1,-1,-1,-1,1,0
,"ʁ",1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,0,0,-1,1,-1,-1,-1,1,0
,"ɴ",1,1,-1,0,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,0,0,0,-1,1,-1,-1,-1,1,0
,"ʀ",1,1,1,0,1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,0,0,0,-1,1,-1,-1,-1,1,0
"pharyngeal","ħ",1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,1,-1,1,-1,1,0
,"ʕ",1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,0,0,-1,1,-1,1,-1,1,0
"glottal","ʔ",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,0,-1,-1,0,0,0,0,0
,"h",-1,-1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0,0,0,-1,-1,0,0,0,0,0
,"ɦ",-1,-1,1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,0,0,0,-1,-1,0,0,0,0,0
"Labial-back velar","w",-1,1,1,0,1,-1,-1,-1,1,-1,-1,1,1,-1,-1,0,0,0,-1,1,1,-1,-1,1,1
,"ʍ",-1,-1,1,1,-1,-1,-1,-1,-1,1,-1,1,1,-1,-1,0,0,0,-1,1,1,-1,-1,1,1
